player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Nicholas Opoku,GHA,21,Ligue 1,80000,0.0,1,6.54,,
Daniel Brosinski,GER,31,Bundesliga,2000000,0.32,3,6.34,,
Richairo Ĺ˝ivkoviÄ‡,NED,22,Premier League,650,0.0,0,6.3,,
Emre Can,GER,25,Serie A,26000000,0.0,2,6.6,,
Okay YokuĹźlu,TUR,25,La Liga,6000000,0.09,6,6.47,,
Nuri Ĺžahin,TUR,30,Bundesliga,1200000,0.22,6,6.35,,
Iago Falque,ESP,29,Serie A,6000000,0.0,0,6.39,,
Simone Pinna,ITA,21,Serie A,20000,0.0,1,6.95,,
JosĂ© Luis Morales,ESP,32,La Liga,6000000,0.21,3,6.53,,
Dedryck Boyata,BEL,28,Bundesliga,8000000,0.19,9,6.03,,
Alessandro Florenzi,ITA,28,Serie A,16000000,0.09,5,6.81,,
Jakub Jankto,CZE,23,Serie A,9000000,0.26,8,6.53,,
Davinson SĂˇnchez,COL,23,Premier League,48000000,0.0,6,7.25,,
Mounir Chouiar,FRA,20,Ligue 1,7000000,0.24,5,6.18,,
Jerry St. Juste,NED,22,Bundesliga,7000000,0.18,7,6.62,,
Kieran Trippier,ENG,28,La Liga,28000000,0.18,2,6.43,,
Pau Torres,ESP,22,La Liga,16000000,0.09,6,6.78,,
Marco Benassi,ITA,24,Serie A,11000000,0.18,1,7.03,,
Willian JosĂ©,BRA,27,La Liga,24000000,0.53,4,6.4,,
Alexandre Oukidja,ALG,31,Ligue 1,1000000,0.0,3,6.38,,
Pietro Terracciano,ITA,29,Serie A,40000,0.0,0,6.86,,
Marlon,BRA,23,Serie A,6500000,0.0,8,6.76,,
Kevin-Prince Boateng,GHA,32,Serie A,3000000,0.15,2,6.21,,
Sergio CĂłrdova,VEN,21,Bundesliga,1000000,0.74,0,6.6,,
Loren MorĂłn,ESP,25,La Liga,16000000,0.5700000000000001,3,6.81,,
RubĂ©n Alcaraz,ESP,28,La Liga,8000000,0.18,10,5.9,,
Davide Riccardi,ITA,23,Serie A,15000,0.0,0,6.99,,
Harry Maguire,ENG,26,Premier League,56000000,0.06,6,6.96,,
NicolĂˇs Otamendi,ARG,31,Premier League,14000000,0.1,3,6.44,,
Sergio Postigo,ESP,30,La Liga,1000000,0.08,6,6.6,,
Alfred Duncan,GHA,26,Serie A,13000000,0.2,2,6.78,,
Toby Alderweireld,BEL,30,Premier League,24000000,0.12,7,6.75,,
Sam Surridge,ENG,21,Premier League,45000,0.0,0,6.11,,
Will Hughes,ENG,24,Premier League,14000000,0.08,9,6.83,,
Giulio Donati,ITA,29,Serie A,80000,0.05,4,6.0,,
Samir Santos,BRA,24,Serie A,3800000,0.06,3,6.57,,
Mehdi LĂ©ris,FRA,21,Serie A,2000000,0.36,0,6.44,,
Fabian Johnson,USA,31,Bundesliga,1000000,0.0,0,6.41,,
MickaĂ«l Alphonse,GPE,30,Ligue 1,72500,0.07,2,6.15,,
Carlo Pinsoglio,ITA,29,Serie A,40000,0.0,0,6.5,,
Martin Kelly,ENG,29,Premier League,2000000,0.06,0,6.89,,
Jarrad Branthwaite,ENG,17,Premier League,2000000,0.0,0,6.15,,
Jean-Victor Makengo,FRA,21,Ligue 1,3000000,0.18,1,6.3,,
Thomas Meunier,BEL,27,Ligue 1,24000000,0.07,3,6.13,,
Youcef Attal,ALG,23,Ligue 1,20000000,0.18,5,6.13,,
Angelo Ogbonna,ITA,31,Premier League,6000000,0.06,4,6.86,,
George Hirst,ENG,20,Premier League,45000,0.0,0,5.79,,
Ramon Azeez,NGA,26,La Liga,80000,0.13,3,6.2,,
Efthimis Koulouris,GRE,23,Ligue 1,2000000,0.35,1,6.35,,
Gerard PiquĂ©,ESP,32,La Liga,20000000,0.03,15,7.07,,
Reiss Nelson,ENG,19,Premier League,12000000,0.14,1,6.31,,
Ansu Fati,ESP,16,La Liga,80000000,0.7,3,7.05,,
GastĂłn RamĂ­rez,URU,28,Serie A,6000000,0.5800000000000001,5,5.98,,
GermĂˇn Pezzella,ARG,28,Serie A,14000000,0.13,12,6.64,,
John Boye,GHA,32,Ligue 1,1000000,0.09,6,6.33,,
Benjamin AndrĂ©,FRA,28,Ligue 1,8000000,0.13,6,6.34,,
Thomas Strakosha,ALB,24,Serie A,20000000,0.0,2,6.53,,
Jean-Kevin Duverne,FRA,22,Ligue 1,1000000,0.0,0,6.58,,
Bram Nuytinck,NED,29,Serie A,2000000,0.0,2,6.17,,
Nikola KaliniÄ‡,CRO,31,Serie A,5500000,0.95,1,6.72,,
GastĂłn Brugman,URU,26,Serie A,2000000,0.12,5,6.68,,
KĂ©vin Rodrigues,POR,25,La Liga,2000000,0.14,7,6.23,,
Billy Sharp,ENG,33,Premier League,1000000,0.43,2,6.78,,
Mihailo RistiÄ‡,SRB,23,Ligue 1,2000000,0.22,1,6.05,,
RubĂ©n Rochina,ESP,28,La Liga,3000000,0.38,5,6.12,,
Quentin Boisgard,FRA,22,Ligue 1,1000000,0.16,1,6.19,,
JosĂ© Fonte,POR,35,Ligue 1,1000000,0.08,4,6.36,,
Alexandre Mendy,GNB,25,Ligue 1,1000000,0.4,3,6.63,,
Sergio Bermejo,ESP,21,La Liga,20000,0.0,0,6.72,,
Ludovic Baal,GUF,33,Ligue 1,32500,0.0,1,6.83,,
James Ward-Prowse,ENG,24,Premier League,14000000,0.21,9,6.89,,
Jamaal Lascelles,ENG,25,Premier League,14000000,0.04,5,6.57,,
Konrad Laimer,AUT,22,Bundesliga,24000000,0.35,9,6.51,,
RubĂ©n,ESP,35,La Liga,500,0.0,0,6.29,,
Gonzalo Melero,ESP,25,La Liga,3000000,0.22,4,5.83,,
Javi MartĂ­nez,ESP,19,La Liga,20000,0.0,0,6.05,,
Bruno Martella,ITA,26,Serie A,1000000,0.0,3,5.87,,
Luka Modric,CRO,33,La Liga,10000000,0.46,8,6.59,,
Marcus Rashford,ENG,21,Premier League,64000000,0.82,3,7.13,,
Christian Benteke,BEL,28,Premier League,10000000,0.21,5,6.64,,
